Word,T1,T2,T3,T4,T5,T6,T7,syllable,Lcount_max,Lcount_1,Lcount_2,Lcount_3,mu,sigma
torso,0,4,35,36,17,6,1,2,2,4,1,0,3.888888888888889,1.0039204854915922
adore,2,17,32,29,15,5,1,3,1,4,1,0,3.5643564356435644,1.1891909354155135
woken,0,2,10,25,36,23,4,2,1,3,0,2,4.8,1.0862780491200217
amber,0,6,22,33,24,12,3,2,1,3,2,0,4.23,1.1819898476721364
joust,0,6,29,34,21,8,2,1,1,2,2,1,4.02,1.1133732527773423
infer,0,3,19,33,26,14,3,2,1,4,0,1,4.387755102040816,1.1305827742420034
braid,0,10,36,35,14,3,0,1,1,3,2,0,3.63265306122449,0.951773372764165
knock,0,3,18,43,27,8,1,1,2,2,1,2,4.22,0.9651942809610924
naive,1,7,24,32,24,11,1,2,1,4,0,1,4.08,1.1720068259186889
apply,0,5,28,38,22,7,1,2,2,2,3,0,4.00990099009901,1.0292268510824614
spoke,0,6,31,38,19,5,0,2,1,3,1,1,3.8585858585858586,0.9641042423426268
usual,0,3,20,39,27,10,1,2,2,3,2,0,4.24,1.0111379727811631
rival,0,7,27,35,22,8,1,2,1,4,0,1,4.0,1.0862780491200215
probe,0,6,24,32,24,11,3,2,1,3,2,0,4.19,1.1806354221350466
chord,0,7,39,38,13,3,0,1,1,2,3,0,3.66,0.8968834929911464
taper,0,8,28,30,20,11,3,2,1,3,2,0,4.07,1.2268251709188231
slate,6,14,33,27,13,5,1,2,1,4,1,0,3.4646464646464645,1.2578089922048339
third,1,10,47,32,9,2,0,1,1,2,3,0,3.4356435643564356,0.8946025345011104
lunar,0,5,32,40,17,4,0,2,1,4,1,0,3.826530612244898,0.9150165628486625
excel,0,1,13,34,34,15,2,2,2,3,1,1,4.555555555555555,0.9971902164189442
aorta,0,7,26,35,20,10,3,2,2,4,1,0,4.089108910891089,1.1781762202489914
poise,2,11,34,32,15,6,1,2,1,4,1,0,3.6831683168316833,1.1512429191088025
extra,1,5,20,35,28,10,1,2,1,3,1,1,4.18,1.107971118757163
judge,0,2,8,16,26,33,14,2,1,1,2,2,5.232323232323233,1.2295049741174093
condo,0,2,17,35,29,14,3,2,2,3,2,0,4.45,1.0805091392487156
impel,0,3,21,40,25,9,1,2,1,3,2,0,4.191919191919192,1.0017839408660554
havoc,0,2,16,38,30,12,2,2,1,2,2,1,4.4,1.0198039027185568
molar,0,4,21,38,26,9,1,2,1,4,1,0,4.181818181818182,1.02851895445316
manly,0,2,17,37,29,12,2,2,1,3,2,0,4.383838383838384,1.0318862859896674
