title,genres,keywords,director,cast,budget,revenue,popularity,vote_average,runtime,production_companies,year,month,overview,cast_revenue,director_revenue
The Pledge,"['Crime', 'Drama', 'Mystery', 'Thriller']","['promise', 'murder', 'drawing', 'porcupine', 'pledge', 'retirement party', 'criminal profile']",Sean Penn,"['Jack Nicholson', 'Aaron Eckhart', 'Helen Mirren', 'Robin Wright', 'Vanessa Redgrave', 'Sam Shepard', 'Benicio del Toro', 'Mickey Rourke', 'Harry Dean Stanton', 'Patricia Clarkson', 'Dale Dickey', 'Tom Noonan', 'Adrien Dorval', ""Michael O'Keefe"", 'Beau Daniels', 'Wendy Morrow Donaldson']",35000000,29400000,12.495436,6.5,123.0,"['Epsilon Motion Pictures', 'Franchise Pictures', 'Morgan Creek Productions', 'Clyde Is Hungry Films', 'Pledge Productions']",2001,1.0,A police chief about to retire pledges to help a woman find her daughter's killer. Based on a story by Swiss writer Friedrich Dürrenmatt.,152642009.5,42827571.0
The Producers,"['Comedy', 'Music']","['cheating', 'adolf hitler', 'success', 'music', 'blonde', 'funny nazi', 'producer', 'broadway musical', 'aftercreditsstinger', 'woman director']",Susan Stroman,"['Matthew Broderick', 'Uma Thurman', 'Will Ferrell', 'Eileen Essell', 'Gary Beach', 'Michael McKean', 'David Huddleston', 'Debra Monk', 'Andrea Martin', 'Jon Lovitz', 'Meg Gillentine', 'Bryn Dowling', 'Kevin Ligon', 'Ray Wills', 'Marilyn Sokol', 'Brent Barrett', 'Tory Ross', 'Brad Oscar', 'Nathan Lane', 'Roger Bart', 'Dan Bittner']",45000000,38058335,6.803965,6.1,134.0,"['Sony Pictures', 'Gaumont Columbia Tristar Films']",2005,12.0,"After putting together another Broadway flop, down-on-his-luck producer Max Bialystock teams up with timid accountant Leo Bloom in a get-rich-quick scheme to put on the world's worst show.",110328995.42857143,38058335.0
The Ghost Writer,"['Thriller', 'Mystery']","['london england', 'cia', 'war crimes', 'tony blair', 'author']",Roman Polanski,"['Ewan McGregor', 'Pierce Brosnan', 'Jon Bernthal', 'Kim Cattrall', 'Tom Wilkinson', 'Olivia Williams', 'Timothy Hutton', 'Jim Belushi', 'Nyasha Hatendi', 'Tim Preece', 'Michael S. Ruscheinsky', 'Eben Young', 'Jaymes Butler', 'Robert Seeliger', 'Anna Botting', 'Marianne Graffam', 'Daphne Alexander', 'Angelique Fernandez', 'Milton Welsh', 'Alister Mazzotti', 'Eli Wallach', 'Tim Faraday', 'Kate Copeland', 'Soogi Kang', 'Robert Pugh', 'Jeff Burrell', 'Morgane Polanski', 'Glenn Conroy', 'Clayton Nemrow', 'Errol Trotman-Harewood', 'Talin Lopez', 'Joel Kirby', 'Regine Hentschel']",45000000,60222298,21.118196,6.7,128.0,"['Studio Babelsberg', 'Runteam Ltd.', 'R.P. Productions', 'France 2 Cinéma']",2010,2.0,"A writer stumbles upon a long-hidden secret when he agrees to help former British Prime Minister Adam Lang complete his memoirs on a remote island after the politician's assistant drowns in a mysterious accident. In director Roman Polanski's tense drama, the author realizes that his discovery threatens some very powerful people who will do anything to ensure that certain episodes from Lang's past remain buried.",170828529.33333334,62497912.5
Miracle at St. Anna,"['Drama', 'War']","['black people', 'world war ii', 'toscana', 'village', 'soldier', 'partisan']",Spike Lee,"['Derek Luke', 'Michael Ealy', 'Laz Alonso', 'John Turturro', 'Valentina Cervi', 'Joseph Gordon-Levitt', 'John Leguizamo', 'Kerry Washington', 'D. B. Sweeney', 'Omar Benson Miller', 'Pierfrancesco Favino', 'Omari Hardwick', 'Omero Antonutti', 'Christian Berkel', 'Alexandra Maria Lara', 'Waldemar Kobus', 'Oliver Korittke', 'Alexander Beyer', 'Walton Goggins', 'Matteo Sciabordi', 'John Hawkes', 'Sergio Albelli', 'Robert John Burke', 'Michael Kenneth Williams', 'André Holland']",45000000,9323833,11.387408,6.3,160.0,"['Rai Cinema', '40 Acres & A Mule Filmworks', 'Touchstone Pictures', 'On My Own']",2008,9.0,"Miracle at St. Anna chronicles the story of four American soldiers who are members of the all-black 92nd ""Buffalo Soldier"" Division stationed in Tuscany, Italy during World War II.",75584727.0,68920310.0
Bangkok Dangerous,"['Action', 'Crime', 'Thriller']","['assassin', 'asia', 'gun', 'deaf-mute', 'hitman', 'bangkok', 'thailand', 'strip club', 'apprentice', 'video surveillance', 'remake', 'murder', 'betrayal', 'mafia', 'shootout', 'boat chase', 'explosion', 'foot chase', 'killer', 'gunshot', 'flashback', 'motorcycle chase', 'crisis of conscience']",Danny Pang,"['Nicolas Cage', 'Shahkrit Yamnarm', 'Charlie Yeung', 'Panward Hemmanee', 'Nirattisai Kaljaruek', 'Dom Hetrakul', 'Tuck Napaskorn', 'Steve Baldocchi', 'Chris Heebink', 'James With']",45000000,42487390,14.813057,5.0,99.0,"['Virtual Studios', 'Initial Entertainment Group', 'Saturn Films', 'International Production Company', 'Blue Star Pictures', 'Living Films', 'Bangkok Dangerous']",2008,8.0,"When carrying out a hit, assassin Joe (Cage) always makes use of the knowledge of the local population. On arriving in Bangkok, Joe meets street kid Kong and he becomes his primary aide. But when Kong is nearly killed, he asks Joe to train him up in the deadly arts and unwittingly becomes a target of a band of killers.",116623779.96,42487390.0
Big Trouble,"['Action', 'Comedy', 'Thriller']",['gadfly'],Barry Sonnenfeld,"['Tim Allen', 'Rene Russo', 'Patrick Warburton', 'Ben Foster', 'Zooey Deschanel', 'Stanley Tucci', 'Tom Sizemore', 'Johnny Knoxville', 'Dennis Farina', 'Jack Kehler', 'Janeane Garofalo', 'Heavy D', 'Omar Epps', 'Jason Lee', 'Sofía Vergara', 'Michael McShane', 'Siobhan Fallon', 'Lars Arentz-Hansen', 'Jay Rasumny', 'Andy Richter', 'Daniel London', 'DJ Qualls', 'Cullen Douglas', 'Flip Schultz', 'Jon Kasdan', 'Ian Marioles', 'Philip Nolen', 'David Koepp', 'Barry Sonnenfeld', 'Antoni Corone', 'Kava Stewartson', 'Marc Macaulay', 'Deborah Smith Ford']",40000000,8493890,5.201688,6.3,85.0,['Touchstone Pictures'],2002,4.0,"The story of how a mysterious suitcase brings together, and changes, the lives of a divorced dad, an unhappy housewife, two hitmen, a pair of street thugs, two love struck teens, two FBI men and a psychedelic toad. Based on Pulitzer Prize-winning humorist Dave Barry's best-selling first novel, ""Big Trouble.""",297320151.8333333,358113156.3333333
Love in the Time of Cholera,"['Drama', 'Romance']","['sex', 'marriage proposal', 'new love', 'colombia', 'letter', 'love letter', 'dying and death', 'ship', 'marriage', 'cholera', 'teacher', 'principal', 'doctor', 'extramarital affair', 'emotions']",Mike Newell,"['Javier Bardem', 'Unax Ugalde', 'Benjamin Bratt', 'Catalina Sandino Moreno', 'Héctor Elizondo', 'Liev Schreiber', 'Fernanda Montenegro', 'Laura Harring', 'John Leguizamo', 'Ana Claudia Talancón', 'Alicia Borrachero', 'Marcela Mar', 'Angie Cepeda', 'Giovanna Mezzogiorno']",45000000,4607608,5.361699,6.4,139.0,"['New Line Cinema', 'Grosvenor Park Media Ltd.']",2007,10.0,"In Colombia just after the Great War, an old man falls from a ladder; dying, he professes great love for his wife. After the funeral, a man calls on the widow - she dismisses him angrily. Flash back more than 50 years to the day Florentino Ariza, a telegraph boy, falls in love with Fermina Daza, the daughter of a mule trader.",214080491.8888889,411894429.0
Johnny English Reborn,"['Crime', 'Adventure', 'Action', 'Comedy', 'Thriller']","['buddhist monk', 'cooking', 'prime minister', 'kitchen', 'secret agent', 'sequel', 'mind control', 'james bond spoof', 'incompetence', 'female boss', 'klutz', 'aftercreditsstinger', 'assassination attempt']",Oliver Parker,"['Rowan Atkinson', 'Dominic West', 'Gillian Anderson', 'Rosamund Pike', 'Daniel Kaluuya', 'Tim McInnerny', 'Stephen Campbell Moore', 'Mariella Frostrup', 'Richard Schiff', 'Rupert Vansittart', 'Isla Blair', 'Emma Vansittart', 'Eric Carte', 'Roger Barclay', 'Christina Chong', 'Burn Gorman', 'Togo Igawa', 'Miles Jupp', 'Pik-Sen Lim', 'Ellen Thomas', 'Benedict Wong', 'Lobo Chan', 'Mark Ivanir', 'Isabella Blake-Thomas', 'Andrew Woodall', 'Chris Jarman', 'Wale Ojo', 'Joséphine de la Baume', 'Eleanor Wyld', 'Margaret Clunie', 'Mandi Sidhu', 'Clara Paget']",45000000,160078586,35.6585,6.0,101.0,['Universal Pictures'],2011,9.0,"The most prominent heads of state in the world begin gathering for a conference that could have a major impact on global politics. When MI-7 receives word that the Chinese premier has become the target of some high-powered killers, it falls on Johnny English to save the day. Armed with the latest high-tech weaponry and gadgets that would make even James Bond jealous, the once-disgraced agent uncovers evidence of a massive conspiracy involving some of the world's most powerful organisations, and vows to redeem his tarnished reputation by stopping the killers before they can strike.",192746491.83333334,160078586.0
Argo,"['Drama', 'Thriller']","['cia', 'wife husband relationship', 'document', 'revolution', 'hiding place', 'canadian', 'press conference', 'biography', 'hanged man', 'american abroad', 'crane', 'subtitled scene', 'movie poster', 'based on article', 'extraction', 'iran hostage crisis', 'sweatshop', 'intelligence agent', 'film studio', 'langley virginia', '1980s']",Ben Affleck,"['Ben Affleck', 'Bryan Cranston', 'Alan Arkin', 'John Goodman', 'Victor Garber', 'Tate Donovan', 'Clea DuVall', 'Scoot McNairy', 'Rory Cochrane', 'Christopher Denham', 'Kerry Bishé', 'Kyle Chandler', 'Chris Messina', 'Zeljko Ivanek', 'Titus Welliver', 'Richard Kind', 'Taylor Schilling', 'Keith Szarabajka', 'Bob Gunton', 'Page Leong', 'Omid Abtahi', 'Sheila Vand', 'Karina Logue', 'Ryan Ahern', 'Bill Tangradi', 'Jamie McShane', 'Roberto Garcia', 'Christopher Stanley', 'Jon Woodward Kirby', 'Victor McCay', 'Matt Nolan', 'J.R. Cacia', 'Bill Kalmenson', 'Rob Brownstein', 'David Sullivan', 'John Boyd', 'Yuriy Sardarov', 'Nikka Far', 'Aidan Sussman', 'Barry Livingston', 'Ali Saam', 'Araz Vahid Ebrahim Nia', 'Scott Anthony Leet', 'Michael Parks', 'Mehrdad Sarlak', 'Ray Haratian', 'Matthew Glave', 'Nancy Stelle', 'Mark Smith', 'Richard Dillane', 'Farshad Farahat', 'Alborz Basiratmand', 'Ruty Rutenberg', 'Michael Woolston', 'Sharareh Sedghi', 'Bobby Zegar', 'Ray Porter', 'Allegra Carpenter', 'Adrienne Barbeau', 'Houshang Touzie', 'Richard Allan Jones']",44500000,232324128,62.01056,7.1,120.0,"['GK Films', 'Warner Bros.', 'Smokehouse Pictures']",2012,10.0,"As the Iranian revolution reaches a boiling point, a CIA 'exfiltration' specialist concocts a risky plan to free six Americans who have found shelter at the home of the Canadian ambassador.",119411840.89473684,193175132.0
The Bounty Hunter,['Action'],"['bounty hunter', 'ex-husband ex-wife relationship']",Andy Tennant,"['Gerard Butler', 'Jennifer Aniston', 'Gio Perez', 'Siobhan Fallon', 'Joel Garland', 'Jason Kolotouros', 'Matt Malloy', 'Jason Sudeikis', 'Adam Rose', 'Christine Baranski', 'Dorian Missick', 'David Costabile', 'Lynda Gravatt', 'Peter Greene', 'Jeff Garlin', 'Charlie Hewson', 'Charles Techman', 'Lou Sumrall']",40000000,136000000,33.747825,5.5,110.0,"['Columbia Pictures', 'Original Film', 'Relativity Media', 'Madhouse Entertainment']",2010,3.0,"Milo Boyd is a bounty hunter whose latest gig is rather satisfying, as he finds out that the bail-skipper he must chase down is his own ex-wife, Nicole -- but she has no intention of getting nabbed without a fight. Complicating matters, Nicole's wannabe-boyfriend, Stewart, joins the chase.",153781240.10526314,198988471.25
Underworld: Evolution,"['Fantasy', 'Action', 'Science Fiction', 'Thriller']","['budapest', 'key', 'vampire', 'light', 'werewolf', 'evolution', 'fang vamp']",Len Wiseman,"['Kate Beckinsale', 'Scott Speedman', 'Tony Curran', 'Shane Brolly', 'Derek Jacobi', 'Bill Nighy', 'Steven Mackintosh', 'Zita Görög', 'Brian Steele', 'Scott McElroy', 'John Mann', 'Michael Sheen', 'Sophia Myles', 'Richard Cetrone', 'Mike Mukatis', 'Raoul Ganeev', 'Andrew Kavadas']",50000000,111340801,49.020045,6.4,106.0,"['Lakeshore Entertainment', 'Screen Gems']",2006,1.0,"As the war between the vampires and the Lycans rages on, Selene, a former member of the Death Dealers (an elite vampire special forces unit that hunts werewolves), and Michael, the werewolf hybrid, work together in an effort to unlock the secrets of their respective bloodlines.",140024000.6,196860240.66666666
Victor Frankenstein,"['Drama', 'Science Fiction', 'Thriller']","['london england', 'human experimentation', 'frankenstein', 'reanimated corpse', ""frankenstein's monster"", 'science experiment', '19th century']",Paul McGuigan,"['James McAvoy', 'Daniel Radcliffe', 'Jessica Brown Findlay', 'Andrew Scott', 'Charles Dance', 'Louise Brealey', 'Mark Gatiss', 'Freddie Fox', 'Callum Turner', 'Daniel Mays', 'Spencer Wilding', 'Guillaume Delaunay', 'Valene Kane', 'Alistair Petrie', 'Bronson Webb', 'Adrian Schiller']",40000000,34227298,24.821138,5.6,109.0,"['Twentieth Century Fox Film Corporation', 'Davis Entertainment', 'Moving Picture Company (MPC)', 'TSG Entertainment']",2015,11.0,Eccentric scientist Victor Von Frankenstein creates a grotesque creature in an unorthodox scientific experiment.,209919377.58333334,34512478.666666664
Finding Forrester,['Drama'],"['upper class', 'brother brother relationship', 'scotland', 'poetry', 'based on novel', 'mentor', 'becoming an adult', 'professor', 'literature', 'intellectually gifted', 'plagiarism', 'literature competition', 'private school', 'manuscript', 'seclusion', 'pulitzer prize', 'dying and death', 'idol', 'friendship', 'unsociability', 'high school', 'scholarship', 'father figure']",Gus Van Sant,"['Sean Connery', 'Rob Brown', 'F. Murray Abraham', 'Anna Paquin', 'Busta Rhymes', 'April Grace', 'Michael Pitt', 'Michael Nouri', 'Matt Damon', 'Richard Easton', 'Glenn Fitzgerald', ""Lil' Zane"", 'Gus Van Sant']",43000000,80049764,19.043286,7.0,136.0,"['Fountainbridge Films', 'Laurence Mark Productions', 'Columbia Pictures Corporation', 'Finding Forrester Productions']",2000,12.0,Gus van Sant tells the story of a young African American man named Jamal who confronts his talents while living on the streets of the Bronx. He accidentally runs into an old writer named Forrester who discovers his passion for writing. With help from his new mentor Jamal receives a scholarship to a private school.,129657484.0,47591712.0
Unleashed,"['Action', 'Crime']","['martial arts', 'hitman', 'serial killer']",Louis Leterrier,"['Jet Li', 'Morgan Freeman', 'Bob Hoskins', 'Vincent Regan', 'Dylan Brown', 'Tamer Hassan', 'Phyllida Law', 'Michael Jenn', 'Carole Ann Wilson', 'Kerry Condon', 'Mike Lambert', 'Puthirith Chou', 'Jaclyn Tze Wey', 'Georgina Chapman', 'Tony Theng', 'Owen Lay', 'Andy Beckwith', 'Franck Xie Cheng', 'Michael Webber', 'Danielle Louise Harley', 'Affif Ben Badra', 'Miguel Eduardo Cueva', 'Scott Adkins']",45000000,50871113,25.999888,6.6,103.0,"['Canal Plus', 'Current Entertainment', 'Clubdeal', 'TF1 Films Production', 'EuropaCorp', 'Qian Yian International', 'Danny the Dog Prods Ltd.']",2005,2.0,"Raised as a slave, Danny is used to fighting for his survival. In fact, his ""master,"" Bart, thinks of him as a pet and goes as far as leashing him with a collar so they can make money in fight clubs, where Danny is the main contender. When Bart's crew is in a car accident, Danny escapes and meets a blind, kindhearted piano tuner who takes him in and uses music to free the fighter's long-buried heart.",156302831.41666666,115681965.16666667
The Sweetest Thing,"['Romance', 'Comedy']","['roommate', 'marriage', 'aftercreditsstinger', 'duringcreditsstinger']",Roger Kumble,"['Cameron Diaz', 'Christina Applegate', 'Thomas Jane', 'Selma Blair', 'Jason Bateman', 'Parker Posey', 'Frank Grillo', 'Eddie McClintock', 'James Mangold', 'Georgia Engel', 'Johnathon Schaech']",43000000,68696770,18.65632,5.3,84.0,['Konrad Pictures'],2002,4.0,"Christina's love life is stuck in neutral. After years of avoiding the hazards of a meaningful relationship, one night while club-hopping with her girlfriends, she meets Peter, her perfect match. Fed up with playing games, she finally gets the courage to let her guard down and follow her heart, only to discover that Peter has suddenly left town. Accompanied by Courtney, she sets out to capture the one that got away.",265925083.73913044,54018473.5
Charlie St. Cloud,['Drama'],"['brother brother relationship', 'based on novel', 'sailing', 'ghost', 'young adult']",Burr Steers,"['Zac Efron', 'Amanda Crew', 'Charlie Tahan', 'Augustus Prew', 'Donal Logue', 'Kim Basinger', 'Ray Liotta', 'Dave Franco', 'Tegan Moss', 'Julia Maxwell', 'Matt Ward', 'Desiree Zurowski', 'Adrian Hough', 'Jill Teed', 'Miles Chalmers', 'Jesse Wheeler', 'Natasha Denis', 'Valerie Tian', ""Brenna O'Brien"", 'Grace Sherman', 'Marci T. House', 'Ted Whittall', 'Paul Chevreau', 'Paul Duchart', 'Darren Dolynski']",44000000,48190704,21.75433,6.8,99.0,"['Universal Pictures', 'Marc Platt Productions', 'Relativity Media']",2010,5.0,"Accomplished sailor Charlie St. Cloud has the adoration of his mother Claire and his little brother Sam, as well as a college scholarship that will lead him far from his sleepy Pacific Northwest hometown. But his bright future is cut short when a tragedy strikes and takes his dreams with it. After his high-school classmate Tess returns home unexpectedly, Charlie grows torn between honoring a promise he made four years earlier and moving forward with newfound love. And as he finds the courage to let go of the past for good, Charlie discovers the soul most worth saving is his own.",102704817.0,63078548.333333336
The Mechanic,"['Action', 'Thriller', 'Crime']","['poison', 'chicago', 'prostitute', 'martial arts', 'assassin', 'airport', 'cemetery', 'boat', 'hitman', 'chase', 'machinegun', 'cover-up', 'beautiful woman', 'car crash']",Simon West,"['Jason Statham', 'Ben Foster', 'Donald Sutherland', 'Mini Anden', 'Tony Goldwyn', 'Christa Campbell', 'Katarzyna Wolejnio', 'Jeff Chase', 'Eddie J. Fernandez', 'John McConnell', 'Lara Grice', 'Ardy Brent Carlson', 'James Logan', 'Joshua Bridgewater', 'Joel Davis', 'Mark Nutter', 'David Dahlgren']",40000000,51070807,44.094856,6.3,93.0,"['CBS Films', 'Millennium Films', 'Chartoff-Winkler Productions', 'Scared Productions', 'Nu Image Entertainment GmbH']",2011,1.0,"Arthur Bishop is a 'mechanic' - an elite assassin with a strict code and unique talent for cleanly eliminating targets. It's a job that requires professional perfection and total detachment, and Bishop is the best in the business. But when he is ordered to take out his mentor and close friend Harry, Bishop is anything but detached.",157723705.5652174,141484222.8
21 Jump Street,"['Action', 'Comedy', 'Crime']","['male friendship', 'high school', 'parody', 'crude humor', 'based on tv series', 'undercover cop', 'buddy cop', 'buddy comedy', 'duringcreditsstinger']",Phil Lord,"['Channing Tatum', 'Jonah Hill', 'Brie Larson', 'Dave Franco', 'Ellie Kemper', 'Ice Cube', 'Nick Offerman', 'Rob Riggle', 'Jake Johnson', 'Holly Robinson Peete', 'Johnny Pemberton', 'Caroline Aaron', 'Joe Chrest', 'Dakota Johnson', 'Johnny Simmons', 'Candi Brooks', 'Valerie Tian', 'Johnny Depp', 'Peter DeLuise']",42000000,201585328,62.714026,6.7,109.0,"['Columbia Pictures', 'Original Film', 'Stephen J. Cannell Productions', 'Relativity Media', 'Metro-Goldwyn-Mayer (MGM)']",2012,3.0,"In high school, Schmidt was a dork and Jenko was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.",177476329.33333334,275544025.0
Chicken Run,"['Animation', 'Comedy', 'Family']","['chicken', 'freedom', 'escape', 'chicken farm', 'pie machine']",Nick Park,"['Mel Gibson', 'Miranda Richardson', 'Timothy Spall', 'Imelda Staunton', 'Jane Horrocks', 'Phil Daniels', 'Lynn Ferguson', 'Tony Haygarth', 'Julia Sawalha', 'Benjamin Whitrow', 'John Sharian', 'Jo Allen', 'Lisa Kay', 'Laura Strachan']",45000000,224834564,31.789029,6.5,84.0,"['DreamWorks SKG', 'Aardman Animations', 'DreamWorks Animation', 'Pathé']",2000,6.0,"Having been hopelessly repressed and facing eventual certain death at the British chicken farm where they are held, Rocky the american rooster and Ginger the chicken decide to rebel against the evil Mr. and Mrs. Tweedy, the farm's owners. Rocky and Ginger lead their fellow chickens in a great escape from the murderous farmers and their farm of doom.",150226073.72727272,208643698.0
Along Came Polly,"['Comedy', 'Romance']","['beach', 'honeymoon', 'bride', 'chance', 'risk', 'relation', 'long island', 'romantic comedy', 'comedy', 'scuba diving', 'unfaithfulness', 'los angeles', 'art gallery', 'dance class', 'opposites attract', 'caribbean', 'commitment', 'dance club', 'neurotic', 'bagpipes', 'chance encounter', 'insurance risk manager']",John Hamburg,"['Ben Stiller', 'Jennifer Aniston', 'Philip Seymour Hoffman', 'Debra Messing', 'Alec Baldwin', 'Hank Azaria', 'Bryan Brown', 'Michele Lee', 'Bob Dishy', 'Missi Pyle', 'Jsu Garcia', 'Judah Friedlander', 'Kevin Hart', 'Masi Oka', 'Kym Whitley', 'Amy Hohn', 'Nathan Dean', 'Cheryl Hines', 'Caroline Aaron', 'Christina Kirk', 'Todd Stashwick', 'Robb Skyler', 'Edward Conna', 'Bruce Nozick', 'Gustavo Vargas', 'Mari Endo']",42000000,171963386,33.238296,5.8,90.0,"['Jersey Films', 'Loofah Productions']",2004,1.0,"Reuben Feffer is a guy who's spent his entire life playing it safe. Polly Prince is irresistible as a free-spirit who lives for the thrill of the moment. When these two comically mismatched souls collide, Reuben's world is turned upside down, as he makes an uproarious attempt to change his life from middle-of-the-road to totally-out-there.",254668620.125,131800186.0
The Heat,"['Action', 'Comedy', 'Crime']","['boston', 'fbi', 'buddy comedy']",Paul Feig,"['Sandra Bullock', 'Melissa McCarthy', 'Demián Bichir', 'Michael Rapaport', 'Taran Killam', 'Marlon Wayans', 'Andy Buckley', 'Bill Burr', 'Steve Bannos', 'Jane Curtin', 'Spoken Reasons', 'Dan Bakkedahl', 'Thomas F. Wilson', 'Tony Hale', 'Joey McIntyre', 'Michael Tucci', 'Nate Corddry', 'Zach Woods', 'Jamie Denbo', 'Jessica Chaffin', 'Katie Dippold', 'John Franchi', 'Kaitlin Olson']",43000000,158674180,37.654688,6.5,117.0,"['Ingenious Film Partners', 'Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Chernin Entertainment', 'Big Screen Productions', 'TSG Entertainment']",2013,6.0,"Uptight and straight-laced, FBI Special Agent Sarah Ashburn is a methodical investigator with a reputation for excellence--and hyper-arrogance. Shannon Mullins, one of Boston P.D.'s ""finest,"" is foul-mouthed and has a very short fuse, and uses her gut instinct and street smarts to catch the most elusive criminals. Neither has ever had a partner, or a friend for that matter. When these two wildly incompatible law officers join forces to bring down a ruthless drug lord, they become the last thing anyone expected: Buddies.",228089618.0,223528851.5
High Crimes,"['Drama', 'Mystery', 'Thriller', 'Crime']","['based on novel', 'witness', 'village', 'court', 'love', 'murder', 'lawyer', 'defense', 'trial', 'justice', 'husband', 'u.s. marine', 'arrested', 'classified']",Carl Franklin,"['Ashley Judd', 'Morgan Freeman', 'Jim Caviezel', 'Amanda Peet', 'Adam Scott', 'Bruce Davison', 'Tom Bower', 'Juan Carlos Hernández', 'Michael Gaston', 'Jude Ciccolella', 'Emilio Rivera', 'Michael Shannon', 'Dawn Hudson', 'John Billingsley', 'Dendrie Taylor', 'Paula Jai Parker', 'John Apicella', 'Florence Regina', 'Julie Remala', 'Kyle T. Heffner', 'Joe Mazza', 'Jesse Beaton', 'Maureen McVerry', 'Jake Gentry', 'Alex Nesic', 'Don Bajema', 'Eddie Santiago', 'Arlen Escarpeta', 'Lucas Ford', 'Cynthia Shope', 'Stephen Jared', 'Randy Mulkey', 'Karen Kahn', 'Paul Ghiringhelli', 'Elaine Corral Kendall', 'Lee Whittaker']",42000000,63781810,14.046705,6.1,115.0,"['Twentieth Century Fox Film Corporation', 'Regency Enterprises', 'Monarch Pictures', 'Epsilon Motion Pictures', 'New Regency Pictures', 'Manifest Film Company']",2002,4.0,"High powered lawyer Claire Kubik finds her world turned upside down when her husband, who she thought was Tom Kubik, is arrested and is revealed to be Ron Chapman. Chapman is on trial for a murder of Latin American villagers while he was in the Marines. Claire soon learns that to navigate the military justice system, she'll need help from the somewhat unconventional Charlie Grimes.",130836515.5,59638686.5
The Mothman Prophecies,"['Drama', 'Horror', 'Mystery']","['based on novel', 'small town', 'dream', 'motel', 'hallucination', 'bridge', 'alien life-form', 'warning', 'tumor', 'west virginia', 'urban legend', 'premonition', 'telephone call', 'hospital', 'reporter', 'psychic', 'car wreck', 'death of wife', 'mothman', 'mysterious events', 'chemical plant']",Mark Pellington,"['Richard Gere', 'Laura Linney', 'Will Patton', 'Bob Tracey', 'Debra Messing', 'Tom Stoviak', 'David Eigenberg', 'Bill Laing', 'Alan Bates', 'Ron Emanuel', 'Yvonne Erickson', 'Scott Nunnally', 'Harris Mackenzie', 'Zachary Mott', 'Ann McDonough', 'Shane Callahan', 'Nesbitt Blaisdell', 'Dan Callahan', 'Christin Frame', 'Rohn Thomas', 'Susan Nicholas', 'Tim Hartman', 'Jennifer Martin', 'Mark Pellington', 'Murphy Dunne', 'Pete Handelman', 'Matt Miller', 'Josh Braun', 'Doug Korstanje', 'Betsy Zajko', 'Elizabeth Cazenave', 'Sam Nicotero', 'Tom Tully']",32000000,55157539,14.733513,6.1,119.0,['Lakeshore Entertainment'],2002,1.0,Reporter John Klein is plunged into a world of impossible terror and unthinkable chaos when fate draws him to a sleepy West Virginia town whose residents are being visited by a great winged shape that sows hideous nightmares and fevered visions.,81655826.81818181,55157539.0
Red Riding Hood,"['Fantasy', 'Thriller', 'Horror']","['winter', 'fantasy', 'fairy tale', 'hood', 'werewolf', 'aftercreditsstinger', 'duringcreditsstinger', 'woman director', 'red riding hood']",Catherine Hardwicke,"['Amanda Seyfried', 'Gary Oldman', 'Billy Burke', 'Shiloh Fernandez', 'Max Irons', 'Julie Christie', 'Lukas Haas', 'Virginia Madsen', 'Shauna Kain', 'Michael Hogan', 'Adrian Holmes', 'Cole Heppell', 'Christine Willes', 'Michael Shanks', 'Kacey Rohl', 'Megan Charpentier', 'D.J. Greenburg', 'Carmen Lavigne', 'Don Thompson', 'Matt Ward', 'Jen Halley', 'Jordan Becker']",42000000,89162162,45.151657,5.6,100.0,"['Appian Way', 'Warner Bros.', 'Random Films']",2011,3.0,"Valerie is in love with a brooding outsider, Peter, but her parents have arranged for her to marry another man – who is wealthy. Unwilling to lose each other, Valerie and Peter plan to run away together when they learn that Valerie's older sister has been killed by a werewolf that prowls the dark forest surrounding their village. Hungry for revenge, the people call on famed werewolf hunter, Father Solomon, to help them kill the wolf. But Solomon's arrival brings unintended consequences as he warns that the wolf, who takes human form by day, could be any one of them.",161858859.57142857,124947946.75
